epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.02038782648742199,0.13524383306503296,0.00825416948646307,0.07290830463171005
1,0.0010000000474974513,0.007278219796717167,0.06694492697715759,0.005996151827275753,0.060684170573949814
2,0.0010000000474974513,0.005395280197262764,0.058749403804540634,0.004938893485814333,0.05474758520722389
3,0.0010000000474974513,0.0038356732111424208,0.05049922317266464,0.0038176279049366713,0.048460010439157486
4,0.0010000000474974513,0.0035205944441258907,0.04857789725065231,0.003368251258507371,0.04555357247591019
5,0.0010000000474974513,0.002920350292697549,0.04474514722824097,0.0028037794400006533,0.04170176014304161
6,0.0010000000474974513,0.0025997553020715714,0.042819779366254807,0.002612288575619459,0.0405544750392437
7,0.0010000000474974513,0.002432105829939246,0.0409667007625103,0.0022573256865143776,0.037637487053871155
8,0.0010000000474974513,0.001890096114948392,0.03691837564110756,0.002534229541197419,0.04151460900902748
9,0.0010000000474974513,0.0026079979725182056,0.042890939861536026,0.0023984797298908234,0.039157263934612274
10,0.0010000000474974513,0.0020357840694487095,0.03822026774287224,0.002064487896859646,0.03680410236120224
11,0.0010000000474974513,0.001745190005749464,0.03543631359934807,0.0017022385727614164,0.03369114175438881
12,0.0010000000474974513,0.0017310390248894691,0.034434203058481216,0.0016821370227262378,0.03284295275807381
13,0.0010000000474974513,0.00192112079821527,0.0336482860147953,0.0021644532680511475,0.03666253760457039
14,0.0010000000474974513,0.0019000769825652242,0.03577696159482002,0.00212852586992085,0.036630675196647644
15,0.0005000000237487257,0.001742575434036553,0.033165983855724335,0.0019607371650636196,0.03519870340824127
16,0.0005000000237487257,0.0015291764866560698,0.03145163133740425,0.001701577682979405,0.0325944758951664
17,0.0005000000237487257,0.0014890903839841485,0.03069150820374489,0.001768066780641675,0.03284164145588875
18,0.0002500000118743628,0.0016249202890321612,0.03133301064372063,0.0016868490492925048,0.032673779875040054
19,0.0002500000118743628,0.001528772059828043,0.030553452670574188,0.0016896104207262397,0.032749827951192856
20,0.0002500000118743628,0.0014954610960558057,0.030188804492354393,0.0016520810313522816,0.03222697600722313
21,0.0001250000059371814,0.0015322309918701649,0.030959440395236015,0.0016158118378371,0.031835541129112244
22,0.0001250000059371814,0.001451164367608726,0.030036909505724907,0.0016028297832235694,0.03189607337117195
23,0.0001250000059371814,0.0014542511198669672,0.030104251578450203,0.001607131096534431,0.03192047029733658
24,6.25000029685907e-05,0.0015092785470187664,0.029945287853479385,0.0016034345608204603,0.03188524395227432
25,6.25000029685907e-05,0.0015437150141224265,0.030275238677859306,0.0016118685016408563,0.03178602084517479
26,6.25000029685907e-05,0.001341561321169138,0.028760340064764023,0.001603703130967915,0.0316614955663681
27,3.125000148429535e-05,0.0012746379943564534,0.02832004614174366,0.0015873359516263008,0.0315176360309124
28,3.125000148429535e-05,0.0013608725275844336,0.029293807223439217,0.0015744389966130257,0.0313529372215271
29,3.125000148429535e-05,0.0013607239816337824,0.028740692883729935,0.0015688255662098527,0.031257711350917816
30,3.125000148429535e-05,0.0013861489715054631,0.02926008403301239,0.001571377506479621,0.03124670311808586
31,1.5625000742147677e-05,0.0013244138099253178,0.028623979538679123,0.0015720374649390578,0.0312469694763422
32,1.5625000742147677e-05,0.0013463206123560667,0.029056843370199203,0.0015680160140618682,0.031204264611005783
33,1.5625000742147677e-05,0.001379503752104938,0.02869522199034691,0.0015643370570614934,0.031162923201918602
34,7.812500371073838e-06,0.0013879031175747514,0.028738418594002724,0.0015637853648513556,0.031146518886089325
35,7.812500371073838e-06,0.0012934088008478284,0.029866548255085945,0.0015656979521736503,0.031160706654191017
36,7.812500371073838e-06,0.0014121165731921792,0.028566744178533554,0.001563051249831915,0.031139053404331207
37,3.906250185536919e-06,0.0014366551768034697,0.02912858873605728,0.0015613447176292539,0.031127259135246277
38,3.906250185536919e-06,0.001246184459887445,0.029286006465554237,0.0015618379693478346,0.031127948313951492
39,3.906250185536919e-06,0.0013792553218081594,0.029691196978092194,0.0015618703328073025,0.031124915927648544
40,1.9531250927684596e-06,0.0012972449185326695,0.02900228463113308,0.0015617581084370613,0.031119700521230698
41,1.9531250927684596e-06,0.0014000507071614265,0.028880944475531578,0.0015612252755090594,0.03111214004456997
42,1.9531250927684596e-06,0.0014359070919454098,0.029439961537718773,0.0015609747497364879,0.03111046738922596
43,9.999999974752427e-07,0.0013017805758863688,0.02850097045302391,0.0015606731176376343,0.03110642544925213
44,9.999999974752427e-07,0.001398820779286325,0.029395153746008873,0.001560670556500554,0.031104279682040215
45,9.999999974752427e-07,0.0012882292503491044,0.028655681759119034,0.001560308737680316,0.03110027313232422
46,9.999999974752427e-07,0.0013825036585330963,0.029165534302592278,0.001560223288834095,0.031099580228328705
47,9.999999974752427e-07,0.001446762471459806,0.02891371212899685,0.0015604289947077632,0.031101856380701065
48,9.999999974752427e-07,0.0014593714149668813,0.028830794617533684,0.0015601541381329298,0.031099645420908928
49,9.999999974752427e-07,0.0013408611994236708,0.029828984290361404,0.001559993950650096,0.03109833225607872
